logging-interceptor-3.12.0	okhttp3/logging
logging-interceptor-4.2.2	okhttp3/logging
logging-interceptor-4.3.0	okhttp4/logging
logging-interceptor-4.8.1	okhttp3/logging
logging-interceptor-4.9.0	okhttp3/logging
logging-interceptor-5.0.0-alpha.2	okhttp3/logging
lottie-2.5.5	com/airbnb/lottie
lottie-3.4.0	com/airbnb/lottie
lottie-3.4.1	com/airbnb/lottie
lottie-3.7.0	com/airbnb/lottie
lottie-3.7.2	com/airbnb/lottie
luaj-jse-3.0.1	org/luaj/vm2
mapsforge-map-75d7c20	org/mapsforge
MapView-b705d2a5a7	com/onlylemi/mapview
MarkdownEdit-1.0.0	me/thanel/markdownedit
markwon-2.0.2	ru/noties/markwon
material-cab-2.0.1	com/afollestad/materialcab
material-ripple-1.0.2	com/balysv/materialripple
material-tap-target-prompt-3.0.0	uk/co/samuelwall/materialtaptargetprompt
materialdrawer-5.9.1	com/mikepenz/materialdrawer
materialdrawer-8.2.0	com/mikepenz/materialdrawer
materialdrawer-iconics-8.2.0	com/mikepenz/materialdrawer/iconics
materialish-progress-1.7	com/pnikosis/materialishprogress
materialrangebar-1.4.7	com/appyvet/materialrangebar
MaterialShowcaseView-1.2.0	uk/co/deanwild/materialshowcaseview
matisse-0.5.2-beta4	com/zhihu/matisse
me.jfenn.colorpickerdialog.base-0.2.2	me/jfenn/colorpickerdialog
me.uucky.colorpicker-0.9.7	me/uucky/colorpicker
me.zhanghai.android.materialprogressbar.library-1.6.1	me/zhanghai/android/materialprogressbar
me.zhanghai.android.patternlock.library-2.1.2	me/zhanghai/android/patternlock
metadata-extractor-2.13.0	com/drew/metadata
mezzanine-1.1.1	com/anthonycr/mezzanine
minidns-client-1.0.0	org/minidns
mongo-java-driver-2.12.0	com/mongodb
moshi-1.10.0	com/squareup/moshi
moshi-1.11.0	com/squareup/moshi
moshi-1.9.2	com/squareup/moshi
moshi-1.9.3	com/squareup/moshi
moshi-kotlin-1.11.0	com/squareup/moshi
MPAndroidChart-3.0.0-beta1	com/github/mikephil/charting
MPAndroidChart-3.0.2	com/github/mikephil/charting
MPAndroidChart-3.0.3	com/github/mikephil/charting
MPAndroidChart-3.1.0	com/github/mikephil/charting
net.glxn.qrgen.android-2.4.0	net/glxn/qrgen/android
netcipher-2.0.0-alpha1	info/guardianproject/netcipher
netcipher-2.1.0	info/guardianproject/netcipher
netcipher-webkit-2.0.0-alpha1	info/guardianproject/netcipher/webkit
netcipher-webkit-2.1.0	info/guardianproject/netcipher/webkit
oauth.signpost-core-1.2.1.2	oauth/signpost
okhttp-3.10.0	okhttp3
okhttp-3.11.0	okhttp3
okhttp-3.12.0	okhttp3
okhttp-3.12.1	okhttp3
okhttp-3.12.12	okhttp3
okhttp-3.12.13	okhttp3
okhttp-3.12.3	okhttp3
okhttp-3.12.7	okhttp3
okhttp-3.12.8	okhttp3
okhttp-3.14.9	okhttp3
okhttp-3.4.1	okhttp3
okhttp-3.8.0	okhttp3
okhttp-4.2.2	okhttp3
okhttp-4.3.0	okhttp3
okhttp-4.3.1	okhttp3
okhttp-4.7.2	okhttp3
okhttp-4.8.1	okhttp3
okhttp-4.9.0	okhttp3
okhttp-4.9.1	okhttp3
okhttp-5.0.0-alpha.2	okhttp3
okhttp3-integration-4.11.0	com/bumptech/glide/integration/okhttp3
okhttp3-integration-4.12.0	com/bumptech/glide/integration/okhttp3
Onboarding-1.0.1	com/limerse/onboard
opencsv-4.6	com/opencsv
openwig-1.0.0	cz/matejcik/openwig
org.eclipse.egit.github.core-2.1.5	org/eclipse/egit/github/core
org.geometerplus.library-0.1.17	org/geometerplus
org.spongycastle.core-1.58.0.0	org/spongycastle
org.web3j.core-android-2.2.1	org/web3j
osmbonuspack-6.6.0	org/osmdroid/bonuspack
osmbonuspack-6.8.0	org/osmdroid/bonuspack
osmdroid-android-5.6.5	org/osmdroid
osmdroid-android-6.1.0	org/osmdroid
osmdroid-android-6.1.11	org/osmdroid
osmdroid-android-6.1.2	org/osmdroid
otto-1.3.8	com/squareup/otto
overpass-library-2.0.0	info/metadude/java/library/overpass
owasp-java-html-sanitizer-20200713.1	org/owasp/html
pagerslidingtabstrip-1.0.1	com/astuetz
panic-1.0	info/guardianproject/panic
pcap4j-core-1.8.2	org/pcap4j
pcap4j-packetfactory-static-1.8.2	org/pcap4j/packet/factory/statik
pdfium-2.0.14	com/github/axet/pdfium
permiso-0.1.3	com/greysonparrelli/permiso
PersistentCookieJar-1.0.1	com/franmontiel/persistentcookiejar
photoeditor-0.2.1	ja/burhanrashid52/photoeditor
PhotoView-2.0.0	com/github/chrisbanes/photoview
PhotoView-2.3.0	com/github/chrisbanes/photoview
picasso-2.3.2	com/squareup/picasso
picasso-2.5.2	com/squareup/picasso
picasso-2.71828	com/squareup/picasso
picasso-2.8	com/squareup/picasso
picasso-transformations-2.2.1	jp/wasabeef/picasso/transformations
platform.sdk-6.0	cyanogenmod
plumber-android-2.5	leakcanary
poi-3.16	org/apache/poi
poi-3.9	org/apache/poi
poi-ooxml-3.9	org/apache/poi
poi-scratchpad-3.9	org/apache/poi
pollexor-2.0.4	com/squareup/pollexor
powermenu-2.1.7	com/skydoves/powermenu
preferencex-1.1.0	com/takisoft/preferencex
prettytime-5.0.0.Final	org/ocpsoft/prettytime
progressview-1.1.0	com/skydoves/progressview
protobuf-java-3.14.0	com/google/protobuf
protobuf-java-3.15.6	com/google/protobuf
protobuf-java-3.9.2	com/google/protobuf
qrcodegen-1.6.0	io/nayuki/qrcodegen
ratingdialog-1.0.8	com/codemybrainsout/ratingdialog
ratiolayout-1.0.0	com/ritesh/ratiolayout
readability4j-1.0.3	net/dankito/readability4j
readability4j-1.0.5	net/dankito/readability4j
rebound-0.3.8	com/facebook/rebound
recyclerview-fastscroll-1.0.16-kmod	com/simplecityapps/recyclerview_fastscroll
recyclerview-fastscroll-1.0.17	com/simplecityapps/recyclerview_fastscroll
